annotator	filename	mark	label	offset	span
sample1	t3_9304214	T1	HPB	mareridt	170 178
sample1	t3_9304214	T2	MTP	fremstilles	856 867
sample1	t3_9304214	T3	MTP	oplyser	983 990
sample1	t3_9304214	T4	MTP	begære	1029 1035
sample1	t3_9304214	T5	MTP	kølvandet	557 566
sample1	t3_9304214	T6	MTP	på	567 569
sample1	t3_9304214	T7	MTP	i	555 556
sample1	9464064	T1	MTP	kigge	163 168
sample1	9464064	T2	MTP	stillingen	232 242
sample1	9464064	T3	MTP	sad	262 265
sample1	9464064	T4	MTP	står	786 790
sample1	9464064	T5	MTP	for	791 794
sample1	9464064	T6	MTP	stillinger	1039 1049
sample1	9464064	T7	MTP	rolle	1681 1686
sample1	9464064	T8	MTP	overbringe	1785 1795
sample1	9464064	T9	MTP	spidsen	2015 2022
sample1	9464064	T10	MTP	i	2013 2014
sample1	9464064	T11	MTP	følgeskab	2337 2346
sample1	9464064	T12	MTP	blomstrer	2477 2486
sample1	9464064	T13	MTP	brænde	2584 2590
sample1	9464064	T14	MTP	på	2591 2593
sample1	9464064	T16	MTP	cirkler	2720 2727
sample1	9464064	T17	MTP	i	2718 2719
sample1	9464064	T18	MTP	rollen	2992 2998
sample1	9464064	T19	MTP	rollen	3047 3053
sample1	9464064	T21	MTP	tage	4042 4046
sample1	9464064	T22	MTP	kort	4192 4196
sample1	9464064	T23	MTP	holdbart	4282 4290
sample1	9464064	T24	MTP	droppede	4201 4209
sample1	9464064	T25	MTP	finde	4582 4587
sample1	9464064	T26	MTP	fandt	4718 4723
sample1	9464064	T27	MTP	scorede	4751 4758
sample1	9464064	T28	MTP	besat	5161 5166
sample1	9464064	T29	MTP	rollen	5388 5394
sample1	9464064	T30	MTP	forlod	5659 5665
sample1	9464064	T31	MTP	stilling	5764 5772
sample1	9108286	T1	HPB	en	576 578
sample1	9108286	T2	HPB	uge	579 582
sample1	9108286	T3	MTP	se	647 649
sample1	9108286	T4	MTP	åndede	707 713
sample1	9108286	T5	MTP	ud	718 720
sample1	9108286	T6	MTP	kort	1645 1649
sample1	9108286	T7	HPB	et	2474 2476
sample1	9108286	T8	HPB	mesterværk	2477 2487
sample1	9108286	T9	MTP	tæller	1151 1157
sample1	9451422	T1	MTP	oplyser	259 266
sample1	9451422	T4	MTP	blankt	1322 1328
sample1	9451422	T5	MTP	oplyst	2077 2083
sample1	9451422	T6	MTP	oplyste	2263 2270
sample1	t5_9152929	T1	MTP	finder	9 15
sample1	t5_9152929	T2	MTP	fundet	609 615
sample1	t5_9152929	T3	MTP	frem	616 620
sample1	t5_9152929	T4	MTP	til	621 624
sample1	t5_9152929	T5	MTP	peger	704 709
sample1	t5_9152929	T6	MTP	på	720 722
sample1	t5_9152929	T7	MTP	front	994 999
sample1	t5_9152929	T8	MTP	i	992 993
sample1	t5_9152929	T9	MTP	udgangspunktet	1134 1148
sample1	t5_9152929	T10	MTP	markant	1586 1593
sample1	t5_9152929	T11	MTP	peger	1836 1841
sample1	t5_9152929	T12	MTP	retning	1855 1862
sample1	t5_9152929	T13	MTP	i	1842 1843
sample1	t5_9152929	T14	MTP	se	2385 2387
sample1	t1_9451422	T1	MTP	oplyser	259 266
sample1	t1_9451422	T4	MTP	blankt	1322 1328
sample1	t1_9451422	T5	MTP	oplyst	2077 2083
sample1	t1_9451422	T6	MTP	oplyste	2263 2270
sample1	t2_9108286	T1	HPB	en	576 578
sample1	t2_9108286	T2	HPB	uge	579 582
sample1	t2_9108286	T3	MTP	se	647 649
sample1	t2_9108286	T4	MTP	åndede	707 713
sample1	t2_9108286	T5	MTP	ud	718 720
sample1	t2_9108286	T6	MTP	kort	1645 1649
sample1	t2_9108286	T7	HPB	et	2474 2476
sample1	t2_9108286	T8	HPB	mesterværk	2477 2487
sample1	t2_9108286	T9	MTP	tæller	1151 1157
sample1	t6_9275683	T1	MTP	Optur	0 5
sample1	t6_9275683	T2	MTP	sikret	115 121
sample1	t6_9275683	T3	MTP	spring	159 165
sample1	t6_9275683	T4	MTP	indrettet	409 418
sample1	t6_9275683	T5	MTP	mærkes	708 714
sample1	t6_9275683	T6	MTP	sikret	791 797
sample1	t6_9275683	T7	MTP	stige	904 909
sample1	t6_9275683	T8	MTP	nå	1031 1033
sample1	t6_9275683	T10	MTP	spået	1204 1209
sample1	t6_9275683	T11	MTP	når	1293 1296
sample1	t6_9275683	T12	MTP	korte	1376 1381
sample1	t6_9275683	T13	MTP	nøk	1507 1510
sample1	t6_9275683	T14	MTP	stjerneskuds	1591 1603
sample1	t6_9275683	T15	MTP	tikker	1566 1572
sample1	t6_9275683	T16	MTP	sikrer	1810 1816
sample1	t6_9275683	T17	MTP	Stormer	1998 2005
sample1	t6_9275683	T18	MTP	afgivet	2372 2379
sample1	t6_9275683	T19	HPB	Stormer	1998 2005
sample1	t6_9275683	T20	MTP	spring	2626 2632
sample1	t6_9275683	T21	MTP	spring	2640 2646
sample1	t6_9275683	T22	MTP	stormet	2708 2715
sample1	t6_9275683	T23	HPB	stormet	2708 2715
sample1	t6_9275683	T24	MTP	spring	2856 2862
sample1	t6_9275683	T25	MTP	møder	3033 3038
sample1	t6_9275683	T26	MTP	Opgøret	3106 3113
sample1	t6_9275683	T27	MTP	følge	3192 3197
sample1	t4_9464064	T1	MTP	kigge	163 168
sample1	t4_9464064	T2	MTP	stillingen	232 242
sample1	t4_9464064	T3	MTP	sad	262 265
sample1	t4_9464064	T4	MTP	står	786 790
sample1	t4_9464064	T5	MTP	for	791 794
sample1	t4_9464064	T6	MTP	stillinger	1039 1049
sample1	t4_9464064	T7	MTP	rolle	1681 1686
sample1	t4_9464064	T8	MTP	overbringe	1785 1795
sample1	t4_9464064	T9	MTP	spidsen	2015 2022
sample1	t4_9464064	T10	MTP	i	2013 2014
sample1	t4_9464064	T11	MTP	følgeskab	2337 2346
sample1	t4_9464064	T12	MTP	blomstrer	2477 2486
sample1	t4_9464064	T13	MTP	brænde	2584 2590
sample1	t4_9464064	T14	MTP	på	2591 2593
sample1	t4_9464064	T16	MTP	cirkler	2720 2727
sample1	t4_9464064	T17	MTP	i	2718 2719
sample1	t4_9464064	T18	MTP	rollen	2992 2998
sample1	t4_9464064	T19	MTP	rollen	3047 3053
sample1	t4_9464064	T21	MTP	tage	4042 4046
sample1	t4_9464064	T22	MTP	kort	4192 4196
sample1	t4_9464064	T23	MTP	holdbart	4282 4290
sample1	t4_9464064	T24	MTP	droppede	4201 4209
sample1	t4_9464064	T25	MTP	finde	4582 4587
sample1	t4_9464064	T26	MTP	fandt	4718 4723
sample1	t4_9464064	T27	MTP	scorede	4751 4758
sample1	t4_9464064	T28	MTP	besat	5161 5166
sample1	t4_9464064	T29	MTP	rollen	5388 5394
sample1	t4_9464064	T30	MTP	forlod	5659 5665
sample1	t4_9464064	T31	MTP	stilling	5764 5772
sample1	9275683	T1	MTP	Optur	0 5
sample1	9275683	T2	MTP	sikret	115 121
sample1	9275683	T3	MTP	spring	159 165
sample1	9275683	T4	MTP	indrettet	409 418
sample1	9275683	T5	MTP	mærkes	708 714
sample1	9275683	T6	MTP	sikret	791 797
sample1	9275683	T7	MTP	stige	904 909
sample1	9275683	T8	MTP	nå	1031 1033
sample1	9275683	T10	MTP	spået	1204 1209
sample1	9275683	T11	MTP	når	1293 1296
sample1	9275683	T12	MTP	korte	1376 1381
sample1	9275683	T13	MTP	nøk	1507 1510
sample1	9275683	T14	MTP	stjerneskuds	1591 1603
sample1	9275683	T15	MTP	tikker	1566 1572
sample1	9275683	T16	MTP	sikrer	1810 1816
sample1	9275683	T17	MTP	Stormer	1998 2005
sample1	9275683	T18	MTP	afgivet	2372 2379
sample1	9275683	T19	HPB	Stormer	1998 2005
sample1	9275683	T20	MTP	spring	2626 2632
sample1	9275683	T21	MTP	spring	2640 2646
sample1	9275683	T22	MTP	stormet	2708 2715
sample1	9275683	T23	HPB	stormet	2708 2715
sample1	9275683	T24	MTP	spring	2856 2862
sample1	9275683	T25	MTP	møder	3033 3038
sample1	9275683	T26	MTP	Opgøret	3106 3113
sample1	9275683	T27	MTP	følge	3192 3197
sample1	9152929	T1	MTP	finder	9 15
sample1	9152929	T2	MTP	fundet	609 615
sample1	9152929	T3	MTP	frem	616 620
sample1	9152929	T4	MTP	til	621 624
sample1	9152929	T5	MTP	peger	704 709
sample1	9152929	T6	MTP	på	720 722
sample1	9152929	T7	MTP	front	994 999
sample1	9152929	T8	MTP	i	992 993
sample1	9152929	T9	MTP	udgangspunktet	1134 1148
sample1	9152929	T10	MTP	markant	1586 1593
sample1	9152929	T11	MTP	peger	1836 1841
sample1	9152929	T12	MTP	retning	1855 1862
sample1	9152929	T13	MTP	i	1842 1843
sample1	9152929	T14	MTP	se	2385 2387
sample1	9304214	T1	HPB	mareridt	170 178
sample1	9304214	T2	MTP	fremstilles	856 867
sample1	9304214	T3	MTP	oplyser	983 990
sample1	9304214	T4	MTP	begære	1029 1035
sample1	9304214	T5	MTP	kølvandet	557 566
sample1	9304214	T6	MTP	på	567 569
sample1	9304214	T7	MTP	i	555 556
